['2017-08-29 09:20 Tue', {'Name': 'Markit CDX North America Investment Grade', 'Value': '59.68', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '106.93', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.21', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '54.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '56.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '242.33', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '77.21', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '42.39', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '72.48', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-13 09:20 Wed', {'Name': 'Markit CDX North America Investment Grade', 'Value': '60.24', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '106.81', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.62', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '49.42', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '53.43', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '234.03', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '78.93', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '44.82', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '69.97', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-14 09:20 Thu', {'Name': 'Markit CDX North America Investment Grade', 'Value': '56.13', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '107.41', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.80', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '48.33', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '51.39', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '226.35', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '74.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '43.45', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '67.03', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-15 09:20 Fri', {'Name': 'Markit CDX North America Investment Grade', 'Value': '56.13', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '107.41', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.80', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '48.33', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '51.39', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '226.35', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '74.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '43.45', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '67.03', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-19 09:20 Tue', {'Name': 'Markit CDX North America Investment Grade', 'Value': '56.13', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '107.41', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.80', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '51.39', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '226.35', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '74.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '43.45', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '67.03', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-20 09:20 Wed', {'Name': 'Markit CDX North America Investment Grade', 'Value': '55.21', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '107.27', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.72', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '49.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '219.08', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '72.05', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '42.19', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '64.09', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-21 09:20 Thu']
['2017-09-22 09:20 Fri']
['2017-09-25 09:27 Mon']
['2017-09-27 09:27 Wed', {'Name': 'Markit CDX North America Investment Grade', 'Value': '58.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '95.77', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '47.33', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '58.32', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '256.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '81.51', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '46.23', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '72.73', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-28 09:27 Thu', {'Name': 'Markit CDX North America Investment Grade', 'Value': '57.62', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '107.50', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '95.78', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '46.83', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '57.54', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '254.49', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '82.71', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '46.03', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '72.53', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-10-02 09:27 Mon', {'Name': 'Markit CDX North America Investment Grade', 'Value': '55.66', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '107.84', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '95.98', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '47.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '56.65', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '252.68', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '82.28', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '46.04', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '72.32', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-10-04 09:27 Wed', {'Name': 'Markit CDX North America Investment Grade', 'Value': '54.34', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '108.04', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.29', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '47.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '55.48', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '247.41', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '79.76', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '45.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '69.95', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-10-05 09:27 Thu', {'Name': 'Markit CDX North America Investment Grade', 'Value': '54.45', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '108.04', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.33', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit MCDX (municipal CDS)', 'Value': '47.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '56.84', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '248.53', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '79.01', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '45.28', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '69.92', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
['2017-10-06 09:27 Fri', {'Name': 'Markit CDX North America Investment Grade', 'Value': '53.34', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit CDX North America High Yield', 'Value': '108.28', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit CDX Emerging Markets', 'Value': '96.37', 'Unit': 'Price', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe', 'Value': '55.36', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Europe Crossover', 'Value': '244.38', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Asia ex Japan Investment Grade', 'Value': '78.35', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Japan', 'Value': '45.25', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx Australia', 'Value': '69.93', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Markit iTraxx SovX Western Europe', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}]
